name        |ra        |dec      |lim_mag1|mag1|type1|type1_flag|type2|type2_flag|orbital_period|orbital_period_flag|alt_name    |lii     |bii     |acc_pos|type3|type3_flag|type4|type4_flag|mag1_flag|lim_mag2|mag2|mag2_flag|lim_mag3|mag3|mag3_flag|lim_mag4|mag4|mag4_flag|interval|interval2|period2   |period2_flag|period3   |period3_flag|period4   |period4_flag|eclipse|sb|spect_type_2|spect_type_1|lim_mass_ratio|mass_ratio|mass_ratio_flag|mass_ratio_error|lim_inclination|inclination|inclination_flag|inclination_error|lim_m1|m1   |m1_flag|m1_error|lim_m2|m2   |m2_flag|m2_error|class                    |
J0345+5335  |03 45 11.6|+53 35 15|        |17.8|CV   |          |DN   |?         |      0.313900|                   |            |147.0237| -0.9533|1      |     |          |     |          |B        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |K4-7/5      |            |              |      0.83|               |            0.13|               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
EV UMa      |13 07 53.9|+53 51 30|        |17.0|NL   |          |AM   |          |      0.055338|                   |RE J1307+53 |117.5647| 63.0980|1      |     |          |     |          |         |        |18.0|         |        |20.5|         |        |20.8|         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
V452 Cas    |00 52 18.1|+53 51 50|        |20.0|DN   |          |SU   |          |      0.085700|E                  |            |123.0608| -9.0076|1      |     |          |     |          |         |        |    |         |        |    |         |        |14.6|         |20-40   |146      |  0.089300|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V405 Aur    |05 57 59.3|+53 53 45|        |13.9|NL   |          |IP   |          |      0.172620|                   |J0558+5353  |159.2073| 14.3125|1      |     |          |     |          |         |        |14.6|         |        |    |         |        |    |         |        |         |          |            |   545.456|            |          |            |       |1 |            |            |              |          |               |                |&lt;              |        5.0|                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
V723 Cas    |01 05 05.4|+54 00 41|        |18.8|Nb   |          |     |          |      0.693277|                   |N Cas 1995  |124.9606| -8.8066|1      |     |          |     |          |B        |        |    |         |        | 7.1|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA SLOW|
EK UMa      |10 51 35.2|+54 04 36|        |    |NL   |          |AM   |          |      0.079544|                   |1E 1048+542 |153.8660| 55.2481|1      |     |          |     |          |         |        |    |         |        |18.0|         |        |20.0|         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |       56.0|                |             18.0|      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
V2176 Cyg   |19 27 11.6|+54 17 52|        |20.0|DN   |          |SU   |          |      0.055400|E                  |J1927+5417  | 85.8977| 16.8332|1      |WZ   |          |     |          |         |        |    |         |        |    |         |        |13.3|         |        |&gt;2000    |  0.056200|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1501+5501  |15 01 37.2|+55 01 23|        |19.4|DN   |          |SU   |          |      0.056841|                   |            | 91.7163| 53.4840|1      |     |          |     |          |         |        |21.0|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |2      |  |            |            |              |      9.90|               |            1.00|               |       82.8|                |              0.5|      |0.770|       |   0.030|      |0.077|       |   0.010|CV DWARF NOVA SU UMA TYPE|
MQ Dra      |15 53 31.1|+55 16 15|        |17.3|NL   |:         |AM   |:         |      0.182970|                   |J1553+5516  | 86.4372| 46.8867|1      |LA   |          |     |          |         |        |19.2|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |M5/5        |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J2037+5522  |20 37 49.3|+55 22 10|        |20.4|DN   |          |SU   |          |      0.060620|                   |            | 92.0100|  8.5557|1      |WZ   |          |     |          |F        |        |    |         |        |    |         |        |14.1|         |        |         |  0.062700|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
CP Lac      |22 15 41.2|+55 37 02|        |15.3|Na   |          |SW   |?         |      0.145143|                   |N Lac 1936  |102.1415| -0.8374|1      |     |          |     |          |         |        |17.2|         |        | 2.0|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
MT Dra      |18 46 58.9|+55 38 29|        |20.0|NL   |          |AM   |          |      0.089387|                   |J1846+5538  | 85.2178| 22.7176|1      |     |          |     |          |         |        |    |         |        |17.2|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
V592 Cas    |00 20 52.2|+55 42 17|        |12.5|UX   |          |SH   |          |      0.115063|                   |LS I 55-8   |118.6032| -6.9099|1      |NS   |          |IP   |?         |         |        |12.9|         |        |    |         |        |    |         |        |         |  0.122280|            |  1296.000|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
J2138+5544  |21 38 50.0|+55 44 05|        |18.0|NL   |          |IP   |:         |              |                   |            | 98.1111|  2.4378|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |   989.167|            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
J1730+5545  |17 30 47.6|+55 45 19|        |20.1|AC   |          |     |          |      0.024400|                   |            | 83.7131| 33.3361|1      |     |          |     |          |g        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |&lt;              |       11.0|                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J1321+5609  |13 21 04.0|+56 09 58|        |16.4|NL   |          |AM   |          |      0.063800|                   |            |114.5558| 60.4777|1      |     |          |     |          |         |        |18.4|         |        |21.7|g        |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J1959+5625  |19 59 19.4|+56 25 21|        |19.7|DN   |?         |Nr   |?         |      0.183000|                   |            | 89.9492| 13.6636|1      |     |          |     |          |B        |        |    |         |        |12.1|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV RECURRENT NOVA|
V Per       |02 01 53.9|+56 44 04|        |18.1|N    |          |NL   |          |      0.107123|                   |N Per 1887  |132.5211| -4.8197|1      |SW   |?         |     |          |         |        |19.3|         |        | 9.2|p        |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
V731 Cas    |23 57 00.3|+56 45 08|        |19.1|NL   |?         |     |          |      0.780600|                   |V9(NGC 7789)|115.4880| -5.3307|1      |     |          |     |          |         |        |19.5|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
GX Cas      |00 49 01.5|+56 52 45|        |18.5|DN   |          |SU   |          |      0.089000|                   |            |122.6005| -5.9910|1      |     |          |     |          |         |        |    |         |        |13.3|         |        |12.8|         |50-70   |307      |  0.093500|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V1028 Cyg   |20 00 56.6|+56 56 37|        |19.0|DN   |          |SU   |          |      0.060600|E                  |            | 90.5294| 13.7211|1      |     |          |     |          |         |        |    |         |        |14.1|         |        |12.8|         |        |415:     |  0.061800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V1006 Cyg   |19 48 47.2|+57 09 22|        |17.8|DN   |          |SU   |          |      0.099040|                   |            | 89.9263| 15.2819|1      |     |          |     |          |         |        |    |         |        |13.6|         |        |    |         |        |         |  0.104000|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
UV Per      |02 10 08.3|+57 11 21|        |17.9|DN   |          |SU   |          |      0.064900|                   |            |133.4706| -4.0635|1      |     |          |     |          |         |        |20.4|         |        |12.5|         |        |11.0|         |390     |960      |  0.066700|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
1108+5728   |11 11 26.8|+57 12 39|        |19.2|DN   |          |SU   |          |      0.038449|                   |            |146.5093| 55.1003|1      |     |          |     |          |g        |        |    |         |        |    |         |        |15.4|         |        |         |  0.039200|            |          |            |          |            |1      |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V705 Cas    |23 41 47.3|+57 31 00|        |17.0|Na   |          |     |          |      0.228000|:                  |N Cas 1993  |113.6598| -4.0958|1      |     |          |     |          |         |&gt;       |21.0|         |        | 5.7|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA FAST|
J2250+5731  |22 50 37.0|+57 31 54|        |20.3|NL   |          |AM   |          |      0.121000|                   |            |107.2564| -1.6159|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
BZ UMa      |08 53 44.1|+57 48 41|        |16.0|DN   |          |SU   |          |      0.067990|                   |PG 0849+580 |159.0024| 38.8331|1      |IP   |?         |     |          |         |        |19.0|         |        |11.8|:        |        |10.5|:        |181:    |313:     |  0.070200|            |          |            |          |            |       |1 |M5-6/5      |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
IY UMa      |10 43 57.0|+58 07 33|        |17.3|DN   |          |SU   |          |      0.073909|                   |Tmz V85     |149.7602| 51.8441|1      |     |          |     |          |         |        |19.3|         |        |13.5|         |        |13.0|         |69      |286      |  0.076200|            |          |            |          |            |2      |2 |M4/5        |            |              |      8.00|               |            0.50|               |       86.0|                |              1.0|      |0.790|       |   0.040|      |0.100|       |   0.010|CV DWARF NOVA SU UMA TYPE|
TZ Per      |02 13 51.0|+58 22 53|        |14.7|DN   |          |ZC   |          |      0.262906|                   |            |133.5756| -2.7770|1      |     |          |     |          |         |        |15.6|         |        |12.2|         |        |12.8|         |15-19   |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
V542 Cyg    |19 49 10.5|+58 31 59|        |18.3|DN   |          |UG   |          |      0.181500|                   |            | 91.2294| 15.8501|1      |     |          |     |          |p        |        |    |         |        |13.0|p        |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
DW UMa      |10 33 53.0|+58 46 55|        |13.6|NL   |          |SW   |          |      0.136607|                   |PG 1030+590 |150.2763| 50.4092|1      |SH   |          |NS   |          |         |        |14.5|         |        |18.0|         |        |18.8|         |        |         |  0.146000|            |          |            |          |            |1      |1 |M3-9        |            |              |      2.60|               |            0.80|               |       82.0|                |              4.0|      |0.770|       |   0.070|      |0.300|       |   0.100|             CV NOVA LIKE|
AF Cam      |03 32 15.6|+58 47 22|        |17.0|DN   |          |UG   |          |      0.324078|                   |            |142.4888|  2.1647|1      |     |          |     |          |         |        |17.3|         |        |13.4|         |        |    |         |75      |         |          |            |          |            |          |            |       |2 |K4-M0/5     |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
J1714+5851  |17 14 56.8|+58 51 28|        |15.0|DN   |          |     |          |      0.838030|                   |            | 87.5800| 35.3367|1      |     |          |     |          |g        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |K4          |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
Lanning 420 |22 02 43.1|+59 03 21|        |20.6|DN   |          |SU   |          |      0.060500|E                  |            |102.7053|  2.9783|1      |     |          |     |          |B        |        |    |         |        |    |         |        |16.0|         |        |         |  0.061600|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V709 Cas    |00 28 48.9|+59 17 22|        |14.1|NL   |          |IP   |          |      0.222204|                   |J0028+5917  |120.0417| -3.4553|1      |     |          |     |          |         |        |15.4|B        |        |    |         |        |    |         |        |         |          |            |   312.750|            |   317.940|            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |0.900|       |   0.030|      |     |       |        |    CV INTERMEDIATE POLAR|
J0729+5938  |07 29 48.6|+59 38 25|        |19.8|DN   |          |SU   |?         |      0.063000|E                  |            |157.2696| 27.9316|1      |     |          |     |          |B        |        |    |         |        |    |         |        |13.3|         |        |         |  0.064000|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
KL Dra      |19 24 38.3|+59 41 47|        |19.2|DN   |          |SU   |          |      0.017382|                   |            | 91.0141| 19.1992|1      |AC   |          |     |          |B        |        |19.5|B        |        |    |         |        |16.4|         |        |         |  0.017700|            |          |            |          |            |       |  |            |            |              |     13.00|               |                |               |           |                |                 |      |0.760|       |        |      |0.057|       |        |CV DWARF NOVA SU UMA TYPE|
DM Dra      |15 34 12.1|+59 48 32|        |20.8|DN   |          |SU   |          |      0.073500|E                  |            | 94.0913| 47.1797|1      |     |          |     |          |         |        |    |         |        |15.5|B        |        |14.4|         |        |440:     |  0.075700|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
HT Cas      |01 10 13.0|+60 04 36|        |16.4|DN   |          |SU   |          |      0.073647|                   |            |125.2745| -2.7096|1      |     |          |     |          |         |        |18.4|         |        |13.1|         |        |10.8|:        |400     |         |  0.075900|            |          |            |          |            |2      |1 |M5.5/5      |            |              |      6.70|               |            1.40|               |       81.0|                |              1.0|      |0.610|       |   0.040|      |0.090|       |   0.020|CV DWARF NOVA SU UMA TYPE|
V713 Cep    |20 46 38.7|+60 38 04|        |18.0|DN   |          |SU   |?         |      0.085418|                   |            | 96.9911| 10.7853|1      |     |          |     |          |         |&gt;       |21.0|         |        |15.0|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
BY Cam      |05 42 48.9|+60 51 32|        |14.0|NL   |          |AM   |          |      0.139753|                   |H 0538+608  |151.8333| 15.6898|1      |AS   |          |     |          |         |        |16.0|         |        |17.5|         |        |    |         |        |         |  0.138434|            |627264.000|            |          |            |       |1 |            |            |              |          |               |                |&gt;              |       40.0|                |                 |&gt;     |0.800|       |        |      |     |       |        |        CV AM HER (POLAR)|
J1914+6052  |19 14 43.5|+60 52 14|        |21.0|DN   |          |SU   |          |      0.069500|E                  |            | 91.7417| 20.7547|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.9|U        |        |         |  0.071300|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
FT Cam      |03 21 14.4|+61 05 27|        |17.5|DN   |          |SU   |?         |      0.074990|:                  |            |140.0563|  3.3023|1      |     |          |     |          |         |        |    |         |        |13.8|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
KP Cas      |00 38 54.8|+61 13 00|        |18.0|DN   |          |SU   |          |      0.081400|                   |            |121.4242| -1.6184|1      |     |          |     |          |         |        |    |         |        |14.7|         |        |13.1|         |        |         |  0.085100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
1813+6122   |18 14 29.6|+61 23 35|        |15.2|NL   |          |UX   |          |      0.148000|                   |            | 90.5881| 27.9509|1      |SW   |          |NS   |          |b        |        |    |         |        |    |         |        |    |         |        |         |  0.141000|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
V351 UMa    |12 44 26.3|+61 35 15|        |18.8|CV   |          |     |          |      0.099200|                   |            |124.4026| 55.5208|1      |     |          |     |          |g        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
V1033 Cas   |00 22 57.6|+61 41 08|        |16.6|NL   |          |IP   |          |      0.168000|                   |            |119.5613| -0.9997|1      |     |          |     |          |         |        |18.0|         |        |    |         |        |    |         |        |         |          |            |   561.600|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
ES Dra      |15 25 31.8|+62 01 00|        |16.2|DN   |?         |     |          |      0.176600|                   |PG 1524+622 | 97.6429| 46.8345|1      |     |          |     |          |B        |        |    |         |        |13.9|B        |        |    |         |        |         |          |            |          |            |          |            |       |1 |M1-3/5      |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
LW Cam      |07 04 09.9|+62 03 28|        |17.2|NL   |          |AM   |          |      0.067547|                   |J0704+6203  |154.0713| 25.2122|1      |     |          |     |          |         |        |19.8|         |        |19.3|R        |        |20.3|R        |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J0912+6209  |09 12 42.2|+62 09 40|        |18.8|DN   |          |     |          |      0.078000|:                  |            |152.7863| 40.0512|1      |     |          |     |          |g        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J0130+6221  |01 30 31.9|+62 21 32|        |17.5|DN   |?         |     |          |      0.130062|                   |            |127.4489| -0.1695|1      |     |          |     |          |B        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
SU UMa      |08 12 28.2|+62 36 23|        |14.2|DN   |          |SU   |          |      0.076350|                   |PG 0808+627 |153.9609| 33.1365|1      |     |          |     |          |         |        |15.7|         |        |11.9|         |        |11.3|         |5-33    |160      |  0.079100|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V391 Cam    |05 32 33.9|+62 47 52|        |17.5|DN   |          |SU   |          |      0.056200|                   |            |149.4643| 15.5622|1      |     |          |     |          |         |        |    |         |        |12.5|B        |        |11.6|         |        |         |  0.057100|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1730+6247  |17 30 08.3|+62 47 55|        |15.9|DN   |          |SU   |          |      0.076540|                   |            | 92.1347| 33.1522|1      |     |          |     |          |g        |        |    |         |        |    |         |        |13.3|         |        |327:     |  0.079400|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
HT Cam      |07 57 01.3|+63 06 01|        |17.8|NL   |          |IP   |          |      0.059712|                   |J0757+6303  |153.4790| 31.3528|1      |DN   |          |     |          |         |        |    |         |        |12.9|         |        |    |         |        |         |          |            |   514.600|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |0.550|       |   0.090|      |     |       |        |    CV INTERMEDIATE POLAR|
J1527+6327  |15 27 55.1|+63 27 54|        |18.9|DN   |          |SU   |          |      0.077000|E                  |            | 99.1023| 45.7595|1      |     |          |     |          |g        |        |    |         |        |    |         |        |14.9|         |        |         |  0.079300|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
GD 552      |22 50 39.9|+63 28 38|        |16.3|DN   |?         |WZ   |?         |      0.071340|                   |            |109.9262|  3.6973|1      |     |          |     |          |I        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |&lt;     |0.080|       |        |CV DWARF NOVA SU UMA TYPE|
FH UMa      |10 47 09.9|+63 35 14|        |18.5|NL   |          |AM   |          |      0.055600|:                  |J1047+6335  |143.1493| 48.3736|1      |     |          |     |          |         |        |20.6|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
KV Dra      |14 50 38.3|+64 03 28|        |17.1|DN   |          |SU   |          |      0.058760|                   |J1450+6403  |103.8141| 48.4080|1      |     |          |     |          |         |        |18.1|         |        |15.2|R        |        |14.1|         |        |301      |  0.060300|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
MN Dra      |20 23 38.3|+64 36 27|        |19.2|DN   |          |SU   |          |      0.100000|:                  |Var 73 Dra  | 98.7948| 15.2188|1      |ER   |          |     |          |R        |        |    |         |        |15.0|         |        |15.8|B        |7-8     |60       |  0.105000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1623+6500  |16 23 14.4|+65 00 38|&gt;       |21.0|DN   |          |SU   |?         |      0.061000|E                  |            | 96.9097| 39.7788|1      |     |          |     |          |B        |        |    |         |        |    |         |        |16.6|         |        |         |  0.062500|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1831+6511  |18 31 44.5|+65 11 32|        |15.9|DN   |          |     |          |      0.167000|                   |            | 95.0895| 26.4847|1      |     |          |     |          |         |        |    |         |&gt;       |15.0|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
OZ Dra      |13 27 23.4|+65 28 54|        |17.8|NL   |          |UX   |          |      0.136632|                   |            |116.9893| 51.2298|1      |SW   |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J2218+6542  |22 18 11.0|+65 42 20|        |20.5|DN   |          |SU   |          |      0.066000|E                  |            |108.0282|  7.3714|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.3|         |        |         |  0.067000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
HS Cam      |07 19 14.5|+65 57 45|        |17.0|NL   |          |AM   |          |      0.068207|                   |J0719+6557  |150.0267| 27.4073|1      |     |          |     |          |         |        |18.8|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |1 |M4-6/5      |            |              |      5.00|               |            1.70|               |       79.0|                |              3.0|      |0.750|       |   0.100|      |0.130|       |   0.050|        CV AM HER (POLAR)|
J0811+6600  |08 11 10.4|+66 00 10|        |21.9|DN   |          |SU   |          |      0.057000|E                  |            |149.9480| 32.6818|1      |WZ   |          |     |          |g        |        |    |         |        |    |         |        |14.1|         |        |         |  0.058100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1703+6607  |17 03 43.0|+66 07 45|        |21.0|DN   |          |SU   |          |      0.064000|E                  |            | 96.6406| 35.4573|1      |     |          |     |          |         |        |    |         |        |    |         |        |14.6|         |        |         |  0.065300|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V513 Cas    |00 18 14.9|+66 18 14|        |18.0|DN   |          |ZC   |          |      0.217000|                   |            |119.6003|  3.6471|1      |     |          |     |          |         |        |    |         |        |15.0|         |        |15.8|         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
LN UMa      |10 04 34.7|+66 29 15|        |14.6|NL   |          |VY   |          |      0.144400|                   |PG 1000+667 |144.2489| 43.0914|1      |SW   |          |     |          |         |        |15.6|         |        |18.0|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J1120+6636  |11 20 03.4|+66 36 32|        |21.1|DN   |          |SU   |          |      0.069000|E                  |            |136.2718| 48.0838|1      |     |          |     |          |g        |        |    |         |        |    |         |        |15.6|g        |        |         |  0.070600|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
OV Dra      |12 50 23.9|+66 55 25|        |18.9|DN   |          |SU   |          |      0.058736|                   |            |123.0911| 50.2043|1      |     |          |     |          |g        |        |    |         |        |15.8|         |        |    |         |        |         |  0.060300|            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
IX Dra      |18 12 31.4|+67 04 46|        |17.5|DN   |          |SU   |          |      0.066460|                   |            | 97.0090| 28.5909|1      |ER   |          |     |          |         |        |18.2|         |        |15.3|         |        |14.6|         |3-4     |59       |  0.067000|            |          |            |          |            |       |  |M2          |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0514+6711  |05 14 15.6|+67 11 20|&gt;       |22.0|DN   |          |SU   |          |      0.055000|E                  |            |144.5182| 16.1624|1      |WZ   |?         |     |          |         |        |    |         |        |    |         |        |14.3|         |        |         |  0.056000|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1051+6725  |10 51 22.9|+67 25 29|        |19.0|DN   |          |SU   |          |      0.060000|                   |            |138.9200| 45.7985|1      |     |          |     |          |B        |        |    |         |        |    |         |        |15.0|         |        |         |  0.061000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
