name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
EXO 051910+3737.7    |V420 Aur    |05 22 35.20|+37 40 34.0|       |        |    1.00|       |         |170.05323|  0.71029|O            |719        |          | 7.51|        |         |    0.14|             |            |   -0.86|     0.42|             |              |74,604,676     | 6.696|          | 6.507|          | 6.230|              |215,850    |         |          |              |           |B0 IVpe     |1H 0521+373          |               |HD 34921    |          |                          HMXRB BE STAR|
4U 2030+40           |V1521 Cyg   |20 32 26.50|+40 57 09.0|  0.200|        |   90.00|  430.0|R        | 79.84260|  0.69512|R            |812        |          |     |        |         |        |             |            |        |     6.30|             |              |792            |15.309|          |13.192|          |11.921|              |64         |         |          |              |590        |WR star     |Cyg X-3              |               |            |          |                                  HMXRB|
GRO J2058+42         |star        |20 58 47.50|+41 46 37.0| 55.030|        |  320.00|       |P, T     | 83.56978| -2.65543|O            |844        |          |14.92|        |         |    1.12|             |            |        |     1.40|             |              |640            |11.740|          |11.282|          |10.930|              |837        |         |  198.0000|              |837,844    |O9.5-B0IV-Ve|CXOU J205847.5+414637|               |            |          |             HMXRB BE STAR X-RAY PULSAR|
RX J0440.9+4431      |LS V +44 17 |04 40 59.30|+44 31 49.0|       |        |    1.00|       |P        |159.84708| -1.27013|O            |145        |          |10.78|        |         |    0.61|             |            |   -0.36|     0.65|             |              |539,641        | 9.500|          | 9.317|          | 9.182|              |632        |         |  202.5000|              |632        |B0.2Ve      |                     |               |BSD 24-491  |          |             HMXRB BE STAR X-RAY PULSAR|
W63 X-1              |            |20 19 00.00|+45 42 00.0|       |        |    1.50|       |P        | 82.31659|  5.42815|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(0.3--4.5 keV)|703        |         |   36.0000|              |650        |            |2E 2017.1+4553       |?              |            |          |                     HMXRB X-RAY PULSAR|
SAX J2103.5+4545     |star        |21 03 35.70|+45 45 04.0| 12.680|        |   20.00|       |P, T     | 87.12993| -0.68507|O            |639        |          |14.20|        |         |    1.12|             |            |        |     1.36|             |              |639            |11.842|          |11.535|          |11.362|              |30         |         |  358.6100|              |30,310     |B0Ve        |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
RX J2030.5+4751      |SAO 49725   |20 30 30.80|+47 51 51.0|       |        |    0.04|       |         | 85.23070|  5.04764|O            |539        |          | 9.27|        |         |    0.38|             |            |   -0.65|         |             |              |539            | 8.058|          | 7.854|          | 7.624|              |539        |         |          |              |           |B0.5V-IIIe  |                     |               |BD +47 3129 |          |                          HMXRB BE STAR|
1H 2202+501          |BD +49 3718 |22 01 38.20|+50 10 05.0|       |        |    0.70|       |         | 97.24782| -4.04112|O            |719        |          | 8.80|        |         |    0.17|             |            |        |     0.30|             |              |778            | 8.778|          | 8.701|          | 8.496|              |850        |         |          |              |           |Be          |                     |               |V2175 Cyg   |          |                          HMXRB BE STAR|
V 0332+53            |BQ Cam      |03 34 59.90|+53 10 24.0| 34.250|&lt;       |    0.50| 1250.0|T, P, C  |146.05195| -2.19388|O            |389        |          |15.10|   15.40|         |    1.60|             |        2.30|        |     1.90|             |              |137,302,552    |11.817|          |11.206|          |10.744|              |730,761    |         |    4.4000|              |547,730,832|O8.5Ve      |EXO 0331+530         |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
1H 1936+541          |DM +53 2262 |19 32 52.30|+53 52 45.0|       |        |    0.70|       |         | 85.84987| 15.90240|O            |           |          | 9.80|        |         |        |             |            |        |         |             |              |778            |10.231|          |10.166|          | 9.975|              |850        |         |          |              |           |Be          |                     |               |            |          |                          HMXRB BE STAR|
